trade,pnl_netto,pnl_tp,pnl_sl
224,74.98289700331304,70.56285948979418,-95.57996248648124
225,74.51548648168352,70.56285948979418,-96.04737300811075
226,73.99921056677748,70.56285948979418,-96.5636489230168
227,73.3301453791636,70.56285948979418,-97.23271411063068
228,72.86738588259603,70.56285948979418,-97.69547360719825
229,72.40568903567794,70.56285948979418,-98.15717045411634
230,71.94375587630189,70.56285948979418,-98.61910361349238
231,73.08070736106491,71.6998109745572,-98.61910361349238
232,74.2004467031992,72.81955031669149,-98.61910361349238
233,73.74819133751417,72.81955031669149,-99.07135897917742
234,73.22031493808268,72.81955031669149,-99.59923537860891
235,72.77037041704881,72.81955031669149,-100.04917989964278
236,74.22090223569468,74.27008213533736,-100.04917989964278
237,73.43752301929518,74.27008213533736,-100.83255911604228
238,72.92190423937986,74.27008213533736,-101.3481778959576
239,74.06778236564915,75.41596026160666,-101.3481778959576
240,73.6359860458254,75.41596026160666,-101.77997421578135
241,72.61534920862962,75.41596026160666,-102.80061105297713
242,72.19142502537069,75.41596026160666,-103.22453523623606
243,73.12377927877311,76.34831451500908,-103.22453523623606
244,72.597487306921,76.34831451500908,-103.75082720808818
245,72.17284673584211,76.34831451500908,-104.17546777916706
246,71.748389360677,76.34831451500908,-104.59992515433218
247,71.3222405279717,76.34831451500908,-105.02607398703748
248,70.8978460463902,76.34831451500908,-105.45046846861898
249,71.90607080845776,77.35653927707664,-105.45046846861898
250,70.6865165365237,77.35653927707664,-106.67002274055304
251,70.25669021777298,77.35653927707664,-107.09984905930375
252,71.32607344092318,78.42592250022683,-107.09984905930375
253,70.89003097320507,78.42592250022683,-107.53589152702186
254,70.41699097313969,78.42592250022683,-108.00893152708724
255,71.42122464233609,79.43015616942323,-108.00893152708724
256,70.3833011135458,79.43015616942323,-109.04685505587753
