MCM_STATE | mode=market impulse=0.7201 motivation=0.1896 risk=-0.1578 replay=0.0004 self_state=active attractor=explore mean_energy=1.9113 mean_motivation=0.2670 mean_risk=-1.4019 mean_velocity=0.1899 clusters=1 memory_center=2.1838 memory_strength=37
MCM_STATE | mode=market impulse=-0.7650 motivation=-0.1282 risk=-0.2102 replay=-0.0029 self_state=active attractor=explore mean_energy=0.5002 mean_motivation=0.1289 mean_risk=-1.3841 mean_velocity=0.2645 clusters=1 memory_center=2.1838 memory_strength=31
MCM_STATE | mode=market impulse=-0.1740 motivation=-0.0188 risk=-0.0202 replay=-0.0154 self_state=stable attractor=cooperate mean_energy=0.0896 mean_motivation=0.0951 mean_risk=-1.1517 mean_velocity=0.2772 clusters=1 memory_center=0.2770 memory_strength=28
MCM_STATE | mode=market impulse=-0.6793 motivation=-0.1336 risk=-0.1911 replay=-0.0154 self_state=active attractor=cooperate mean_energy=-1.0241 mean_motivation=-0.0637 mean_risk=-1.0945 mean_velocity=0.3110 clusters=1 memory_center=0.2770 memory_strength=24
MCM_STATE | mode=market impulse=-0.4505 motivation=-0.0686 risk=-0.1486 replay=0.0186 self_state=active attractor=cooperate mean_energy=-1.6758 mean_motivation=-0.1112 mean_risk=-0.9859 mean_velocity=0.3268 clusters=1 memory_center=0.2770 memory_strength=20
MCM_STATE | mode=market impulse=-0.5819 motivation=-0.0709 risk=-0.2109 replay=0.0004 self_state=active attractor=cooperate mean_energy=-2.0490 mean_motivation=-0.1647 mean_risk=-0.9284 mean_velocity=0.2197 clusters=1 memory_center=0.2770 memory_strength=17
MCM_STATE | mode=market impulse=0.1906 motivation=0.1075 risk=-0.2219 replay=0.0186 self_state=active attractor=defense mean_energy=-1.5128 mean_motivation=-0.0596 mean_risk=-0.9870 mean_velocity=0.2803 clusters=1 memory_center=-1.5972 memory_strength=23
MCM_STATE | mode=market impulse=-0.3065 motivation=-0.0176 risk=-0.2112 replay=0.0186 self_state=active attractor=defense mean_energy=-1.7344 mean_motivation=-0.0435 mean_risk=-1.0372 mean_velocity=0.2957 clusters=1 memory_center=-1.6368 memory_strength=32
MCM_STATE | mode=market impulse=-0.0002 motivation=0.0486 risk=-0.1707 replay=0.0262 self_state=active attractor=defense mean_energy=-1.4275 mean_motivation=0.0319 mean_risk=-1.0659 mean_velocity=0.3108 clusters=1 memory_center=-1.5526 memory_strength=39
MCM_STATE | mode=market impulse=-0.3542 motivation=-0.0360 risk=-0.0859 replay=-0.0258 self_state=active attractor=defense mean_energy=-1.6894 mean_motivation=-0.0067 mean_risk=-0.9777 mean_velocity=0.3112 clusters=1 memory_center=-1.6019 memory_strength=45
MCM_STATE | mode=market impulse=1.3600 motivation=0.2909 risk=-0.1566 replay=-0.0029 self_state=active attractor=defense mean_energy=0.7171 mean_motivation=0.2253 mean_risk=-1.0711 mean_velocity=0.3136 clusters=1 memory_center=-1.6019 memory_strength=38
MCM_STATE | mode=market impulse=1.1385 motivation=0.1933 risk=-0.1481 replay=0.0004 self_state=active attractor=defense mean_energy=1.9500 mean_motivation=0.4104 mean_risk=-1.0724 mean_velocity=0.2079 clusters=1 memory_center=-1.6019 memory_strength=32
MCM_STATE | mode=market impulse=-0.0225 motivation=0.0365 risk=-0.0933 replay=-0.0258 self_state=active attractor=defense mean_energy=1.5024 mean_motivation=0.4018 mean_risk=-1.0230 mean_velocity=0.1643 clusters=1 memory_center=-1.6019 memory_strength=27
MCM_STATE | mode=market impulse=-0.3170 motivation=-0.0323 risk=-0.1403 replay=0.0080 self_state=active attractor=defense mean_energy=0.8675 mean_motivation=0.3457 mean_risk=-1.0292 mean_velocity=0.2019 clusters=1 memory_center=-1.6019 memory_strength=23
