EXIT TP | time=N/A side=LONG entry=119.2382 tp=120.9774 sl=118.0544 risk=1.1838 mfe=1.8418 mae=0.0000 energy=1.716666666666668 stim=reward attr=engage socially eff=0.5882352941176471 node=48 mem=explore res=1.2302777777777807 pnl=1.7392
AI_DECISION | ml=LONG ai=LONG rr=1.859877741858422 stim=reward attr=engage socially eff=0.5882352941176471 node=48 mem=explore
EXIT TP | time=N/A side=LONG entry=122.2469 tp=124.6609 sl=120.8749 risk=1.3721 mfe=2.7131 mae=1.1369 energy=1.95238095238093 stim=reward attr=engage socially eff=0.6 node=304 mem=explore res=1.8594104308389368 pnl=2.4139
AI_DECISION | ml=LONG ai=LONG rr=2.1765455302976635 stim=reward attr=engage socially eff=0.6 node=304 mem=explore
EXIT SL | time=N/A side=SHORT entry=123.5862 tp=120.4952 sl=124.7618 risk=1.1756 mfe=0.0462 mae=1.1638 energy=1.6363636363636422 stim=reward attr=engage socially eff=0.7419354838709677 node=11 mem=analysis res=1.0413223140496002 pnl=-1.1756
AI_DECISION | ml=SHORT ai=SHORT rr=3.214040100910985 stim=reward attr=engage socially eff=0.7419354838709677 node=11 mem=analysis
EXIT SL | time=N/A side=SHORT entry=124.5128 tp=121.4339 sl=125.6848 risk=1.1720 mfe=1.3828 mae=1.7272 energy=1.6181818181818017 stim=reward attr=engage socially eff=0.7419354838709677 node=11 mem=analysis res=1.00033057851236 pnl=-1.1720
AI_DECISION | ml=SHORT ai=SHORT rr=3.214040100910985 stim=reward attr=engage socially eff=0.7419354838709677 node=11 mem=analysis
EXIT SL | time=N/A side=LONG entry=126.3459 tp=128.1925 sl=125.0893 risk=1.2567 mfe=0.0000 mae=1.5759 energy=1.7199999999999704 stim=reward attr=engage socially eff=0.5882352941176471 node=48 mem=explore res=1.2383999999999278 pnl=-1.2567
AI_DECISION | ml=LONG ai=LONG rr=1.859877741858422 stim=reward attr=engage socially eff=0.5882352941176471 node=48 mem=explore
EXIT SL | time=N/A side=LONG entry=125.8265 tp=128.8145 sl=124.4708 risk=1.3557 mfe=2.4835 mae=1.6365 energy=1.8695652173913553 stim=reward attr=engage socially eff=0.7777777777777778 node=29 mem=explore res=1.6257088846882304 pnl=-1.3557
AI_DECISION | ml=LONG ai=LONG rr=2.6954738298700134 stim=reward attr=engage socially eff=0.7777777777777778 node=29 mem=explore
EXIT TP | time=N/A side=SHORT entry=124.0759 tp=120.4837 sl=125.1795 risk=1.1036 mfe=3.7859 mae=0.0000 energy=1.5241935483871034 stim=reward attr=engage socially eff=1.0 node=4 mem=analysis res=0.7989724245577661 pnl=3.5922
AI_DECISION | ml=SHORT ai=SHORT rr=3.9597551386890357 stim=reward attr=engage socially eff=1.0 node=4 mem=analysis
EXIT TP | time=N/A side=SHORT entry=120.4688 tp=116.8044 sl=121.5906 risk=1.1218 mfe=4.3488 mae=0.0000 energy=1.6 stim=reward attr=engage socially eff=1.0 node=4 mem=analysis res=0.96 pnl=3.6644
AI_DECISION | ml=SHORT ai=SHORT rr=3.9597551386890357 stim=reward attr=engage socially eff=1.0 node=4 mem=analysis
EXIT SL | time=N/A side=LONG entry=117.2511 tp=118.8717 sl=116.1430 risk=1.1081 mfe=0.7889 mae=3.0811 energy=1.6296296296296453 stim=reward attr=engage socially eff=0.5882352941176471 node=39 mem=explore res=1.0260631001372094 pnl=-1.1081
AI_DECISION | ml=LONG ai=LONG rr=1.859877741858422 stim=reward attr=engage socially eff=0.5882352941176471 node=39 mem=explore
EXIT SL | time=N/A side=SHORT entry=115.7881 tp=112.6174 sl=116.9128 risk=1.1246 mfe=2.6081 mae=1.4319 energy=1.6727272727272586 stim=reward attr=engage socially eff=0.7727272727272727 node=40 mem=analysis res=1.125289256198314 pnl=-1.1246
AI_DECISION | ml=SHORT ai=SHORT rr=3.429589300327823 stim=reward attr=engage socially eff=0.7727272727272727 node=40 mem=analysis
EXIT SL | time=N/A side=SHORT entry=116.1194 tp=111.9048 sl=117.1367 risk=1.0173 mfe=0.4994 mae=1.0206 energy=1.4999999999999838 stim=reward attr=engage socially eff=1.0 node=49 mem=analysis res=0.7499999999999677 pnl=-1.0173
AI_DECISION | ml=SHORT ai=SHORT rr=5.0 stim=reward attr=engage socially eff=1.0 node=49 mem=analysis
EXIT SL | time=N/A side=SHORT entry=115.4633 tp=112.7527 sl=116.7047 risk=1.2414 mfe=0.8833 mae=1.3267 energy=1.8620689655172369 stim=reward attr=engage socially eff=0.6666666666666666 node=11 mem=analysis res=1.605231866825196 pnl=-1.2414
AI_DECISION | ml=SHORT ai=SHORT rr=2.673170932888069 stim=reward attr=engage socially eff=0.6666666666666666 node=11 mem=analysis
EXIT SL | time=N/A side=LONG entry=116.8769 tp=119.6279 sl=115.9252 risk=0.9517 mfe=0.2031 mae=1.8369 energy=1.3913043478260332 stim=reward attr=engage socially eff=1.0 node=26 mem=explore res=0.5444234404535904 pnl=-0.9517
AI_DECISION | ml=LONG ai=LONG rr=3.5594405594405525 stim=reward attr=engage socially eff=1.0 node=26 mem=explore
